category,sample_id,group,paired_patient_id,cell_line,replicate,pathway_score,available_gene_count,requested_gene_count,available_genes
respiratory chain complex III,GSM9181271,control,3,FA3ic,3,1.0985453542572314,1,1,UQCRC2
respiratory chain complex III,GSM9181266,disease,3,FA3,1,-1.2653296400034424,1,1,UQCRC2
respiratory chain complex III,GSM9181267,disease,3,FA3,2,0.7420434310465153,1,1,UQCRC2
respiratory chain complex III,GSM9181268,disease,3,FA3,3,0.8853939321502977,1,1,UQCRC2
respiratory chain complex IV,GSM9181257,control,1,FA1ic,1,0.12973368728926457,1,1,COX4I1
respiratory chain complex IV,GSM9181258,control,1,FA1ic,2,1.2035832315885575,1,1,COX4I1
respiratory chain complex IV,GSM9181259,control,1,FA1ic,3,1.598333997002638,1,1,COX4I1
respiratory chain complex IV,GSM9181254,disease,1,FA1,1,0.1366797264463326,1,1,COX4I1
respiratory chain complex IV,GSM9181255,disease,1,FA1,2,0.7103708839245929,1,1,COX4I1
respiratory chain complex IV,GSM9181256,disease,1,FA1,3,-0.2812010758424978,1,1,COX4I1
respiratory chain complex IV,GSM9181263,control,2,FA2ic,1,0.06618204134467838,1,1,COX4I1
respiratory chain complex IV,GSM9181264,control,2,FA2ic,2,-0.32833449864251835,1,1,COX4I1
respiratory chain complex IV,GSM9181265,control,2,FA2ic,3,-0.018636549937310662,1,1,COX4I1
respiratory chain complex IV,GSM9181260,disease,2,FA2,1,-0.994922810103965,1,1,COX4I1
respiratory chain complex IV,GSM9181261,disease,2,FA2,2,-2.576803061400086,1,1,COX4I1
respiratory chain complex IV,GSM9181262,disease,2,FA2,3,-0.44276061429373753,1,1,COX4I1
respiratory chain complex IV,GSM9181269,control,3,FA3ic,1,0.80481101839573,1,1,COX4I1
respiratory chain complex IV,GSM9181270,control,3,FA3ic,2,-0.38027441697568626,1,1,COX4I1
respiratory chain complex IV,GSM9181271,control,3,FA3ic,3,1.0441085789790039,1,1,COX4I1
respiratory chain complex IV,GSM9181266,disease,3,FA3,1,-1.4859133060664715,1,1,COX4I1
respiratory chain complex IV,GSM9181267,disease,3,FA3,2,0.3164958962653709,1,1,COX4I1
respiratory chain complex IV,GSM9181268,disease,3,FA3,3,0.49854727202607346,1,1,COX4I1
