gene_id,gene_symbol,mean_log2_cpm_disease,mean_log2_cpm_control,mean_log2_cpm,log2_fold_change,p_value,n_pairs,method,comparison,padj,abs_log2_fold_change
ENSG00000130988,RGN,2.8097870439748367,2.6632090202247967,2.7364980320998167,0.14657802375004003,0.31912018826209815,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.14657802375004003
ENSG00000134153,EMC7,5.353451417168411,5.209162002869762,5.281306710019087,0.1442894142986484,0.31912331480655964,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.1442894142986484
ENSG00000166128,RAB8B,4.022479836395408,3.779602203729278,3.9010410200623427,0.24287763266612972,0.31921857216662575,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.24287763266612972
ENSG00000143321,HDGF,7.716044176020904,7.960804364515642,7.8384242702682725,-0.24476018849473835,0.3193030888214172,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.24476018849473835
ENSG00000111269,CREBL2,5.0450046835292826,4.942855778475733,4.993930231002508,0.10214890505354912,0.3193118786061703,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.10214890505354912
ENSG00000088986,DYNLL1,7.207394697150026,7.128756919780211,7.168075808465119,0.07863777736981437,0.3193121840629129,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.07863777736981437
ENSG00000182768,NGRN,7.579473826079734,7.656918552914397,7.618196189497065,-0.07744472683466341,0.3193738237808022,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.07744472683466341
ENSG00000137818,RPLP1,9.339352027491843,9.49353897035187,9.416445498921858,-0.15418694286002754,0.31937835155066485,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.15418694286002754
ENSG00000157350,ST3GAL2,6.597875776395967,6.512226238083748,6.555051007239857,0.08564953831221889,0.31939403812639205,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.08564953831221889
ENSG00000267152,AC093227.1,1.218995154689898,1.3240944541191704,1.2715448044045343,-0.10509929942927232,0.31942259500070014,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.10509929942927232
ENSG00000025708,TYMP,2.0790241673833845,1.6887259604110356,1.8838750638972102,0.39029820697234885,0.31953827680759883,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.39029820697234885
ENSG00000023041,ZDHHC6,4.636175961134138,4.741207746047057,4.688691853590598,-0.10503178491291898,0.31961633826241326,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.10503178491291898
